File	writing_system	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
abk	Cyrl	7.192	7.0	49	3596	0.0136	345	500	0.69	7.981746356346852
amp	Latn	5.538	5.0	31	2769	0.0112	307	500	0.614	7.800170138664127
aey	Latn	4.758	4.0	34	2379	0.0143	284	500	0.568	7.5507518127119155
apu	Latn	7.264	7.0	32	3632	0.0088	293	500	0.586	7.695806580957544
bmi	Latn	3.4078947368421053	3.0	50	259	0.1931	61	76	0.8026	5.605708627822881
bsn	Latn	6.114	6.0	45	3057	0.0147	289	500	0.578	7.5459413059083476
gry	Latn	2.804	2.0	48	1402	0.0342	208	500	0.416	6.867663799238251
eus	Latn	6.194	6.0	33	3097	0.0107	397	500	0.794	8.38154563015909
ape	Latn	5.638	5.0	32	2819	0.0114	283	500	0.566	7.436154899896508
bsk	Latn	4.906976744186046	5.0	47	1266	0.0371	178	258	0.6899	7.0789190448572645
ram	Latn	3.638	3.0	40	1819	0.022	201	500	0.402	6.800508977031776
tzm	Latn	4.488	4.0	34	2244	0.0152	249	500	0.498	7.152507416889383
cha	Latn	4.536	4.0	34	2268	0.015	260	500	0.52	7.239665481532121
ckt	Cyrl	8.16	8.0	42	4080	0.0103	361	500	0.722	8.051337599079332
zoc	Latn	5.98	6.0	37	2990	0.0124	318	500	0.636	7.635296820168453
dgz	Latn	4.486	4.0	31	2243	0.0138	280	500	0.56	7.63849807147806
hae	Latn	5.992	6.0	38	2996	0.0127	341	500	0.682	8.065751179182975
arz	Arab	4.534	4.0	193	2267	0.0851	411	500	0.822	8.495128002257697
fij	Latn	3.728	3.0	32	1864	0.0172	184	500	0.368	6.424566941761966
fin	Latn	6.656	6.0	40	3328	0.012	415	500	0.83	8.490352771131889
gni	Latn	6.288	6.0	30	3144	0.0095	252	500	0.504	6.829006235970933
khk	Latn	5.666	5.0	33	2833	0.0116	349	500	0.698	8.146846365446134
khk	Cyrl	5.658	5.5	32	2829	0.0113	366	500	0.732	8.222017327367343
hau	Latn	4.19	4.0	42	2095	0.02	289	500	0.578	7.584575344599387
heb	Hebr	4.124	4.0	56	2062	0.0272	383	500	0.766	8.291608061045
hin	Deva	3.31	3.0	260	1655	0.1571	355	500	0.71	8.14041426802383
hin	Latn	3.412	3.0	223	1706	0.1307	335	500	0.67	8.027009445134137
hix	Latn	5.448	4.0	28	2724	0.0103	199	500	0.398	6.76994589854187
hnj	Latn	3.762	4.0	25	1881	0.0133	195	500	0.39	6.961460769317744
qvi	Latn	8.406	8.0	41	4203	0.0098	397	500	0.794	8.423758609074568
imn	Latn	5.252873563218391	5.0	31	1828	0.017	233	348	0.6695	7.609092489492953
ind	Latn	5.454	5.0	27	2727	0.0099	334	500	0.668	7.915545691598602
kal	Latn	11.726	11.0	34	5863	0.0058	468	500	0.936	8.80701612869158
gyd	Latn	8.16	7.0	29	4080	0.0071	395	500	0.79	8.354545388228008
kio	Latn	2.80188679245283	2.0	46	594	0.0774	96	212	0.4528	5.1796833419362684
kor	Hang	3.064	3.0	384	1532	0.2507	459	500	0.918	8.788525903695906
kor	Kore	3.11	3.0	392	1555	0.2521	456	500	0.912	8.766035678700234
kgo	Latn	5.323170731707317	5.0	46	1746	0.0263	176	328	0.5366	6.62759880061751
kut	Latn	3.5698924731182795	3	36	332	0.1084	44	93	0.4731	4.580487842621677
laj	Latn	3.874	4.0	32	1937	0.0165	262	500	0.524	7.44982297178465
lvk	Latn	4.802	5.0	28	2401	0.0117	306	500	0.612	7.8191496193214585
dni	Latn	6.888888888888889	6.0	28	1736	0.0161	184	252	0.7302	7.284908249233824
lue	Latn	7.418	7.0	32	3709	0.0086	311	500	0.622	7.779931448341806
ayz	Latn	3.478	4.0	27	1739	0.0155	189	500	0.378	6.896772474640679
myh	Latn	7.959349593495935	7.0	45	1958	0.023	160	246	0.6504	6.984868570852893
cmn	Hans	1.88	1.0	388	940	0.4128	379	500	0.758	8.165083414315072
cmn	Hant	1.812	1.0	391	906	0.4316	369	500	0.738	8.163691102613154
arn	Latn	5.488	5.0	35	2744	0.0128	235	500	0.47	6.953533593958747
vma	Latn	8.66	7.0	26	4330	0.006	343	500	0.686	7.999989517963465
mph	Latn	6.096	5.0	30	3048	0.0098	223	500	0.446	6.845123561868687
ote	Latn	3.292	2.0	45	1646	0.0273	233	500	0.466	7.061820914617417
ell	Grek	5.224	4.0	64	2612	0.0245	353	500	0.706	8.039731573034453
naq	Latn	3.89	3.0	43	1945	0.0221	268	500	0.536	7.271148981755477
tur	Latn	6.06	6.0	46	3030	0.0152	427	500	0.854	8.577546315053729
kat	Geor	5.322	5.0	73	2661	0.0274	395	500	0.79	8.381829049059242
kan	Knda	4.788	5.0	292	2394	0.122	435	500	0.87	8.633757747725397
mya	Mymr	2.242	2.0	194	1121	0.1731	260	500	0.52	7.374142025201369
jpn	Jpan	2.0	2.0	297	1000	0.297	306	500	0.612	7.70228215286545
pwn	Latn	5.226	4.0	33	2613	0.0126	231	500	0.462	6.861719607700137
gug	Latn	5.654	5.0	47	2827	0.0166	328	500	0.656	7.909819326155636
myp	Latn	5.11	5.0	27	2555	0.0106	269	500	0.538	7.269325227964503
crk	Latn	8.352941176470589	7	31	3550	0.0087	288	425	0.6776	7.804320522055016
plt	Latn	5.566	5.0	40	2783	0.0144	304	500	0.608	7.613362991703398
jac	Latn	4.904	5.0	36	2452	0.0147	258	500	0.516	7.358207817814248
rma	Latn	6.306	6.0	32	3153	0.0101	347	500	0.694	8.156753209376516
rap	Latn	3.148	3.0	32	1574	0.0203	181	500	0.362	6.541142236722435
rus	Cyrl	5.29	5.0	61	2645	0.0231	352	500	0.704	8.124840266840959
sag	Latn	3.568	3.0	40	1784	0.0224	178	500	0.356	6.427289221686335
mig	Latn	3.246	3.0	48	1623	0.0296	208	500	0.416	6.551470905197222
xsu	Latn	3.6	4.0	36	1800	0.02	179	500	0.358	6.215085924656588
spa	Latn	5.018	4.0	42	2509	0.0167	324	500	0.648	7.82593943533775
fra	Latn	4.634	4.0	44	2317	0.019	314	500	0.628	7.816185530680378
eng	Latn	4.548	4.0	32	2274	0.0141	319	500	0.638	7.704462537039299
deu	Latn	5.64	5.0	40	2820	0.0142	342	500	0.684	7.974552221364659
