File	Avg_length	Median_length	Char_types	Types	Tokens	TTR	H
abk	7.3428571428571425	7.0	50	785	1330	0.5902255639097744	8.887028896554925
amp	5.5574	5.0	32	3303	10000	0.3303	9.770092517392525
aey	4.9512	5.0	32	2674	10000	0.2674	9.286043859198298
apu	7.5302	7.0	34	3051	10000	0.3051	9.667356941496994
bmi	3.4078947368421053	3.0	50	61	76	0.8026315789473685	5.605708627822881
bsn	5.8135	5.0	48	2559	10000	0.2559	8.923943558902744
gry	3.000590946696608	2	52	1393	8461	0.16463774967497932	8.064740166940322
eus	5.6681	5.0	40	3963	10000	0.3963	10.442898973605562
ape	5.5326	5.0	33	2416	10000	0.2416	8.935758819931072
bsk	4.906976744186046	5.0	47	178	258	0.689922480620155	7.0789190448572645
ram	3.6453	3.0	43	1278	10000	0.1278	7.718265444281038
tzm	4.533590308370044	5.0	42	679	1816	0.3738986784140969	7.956074864509342
cha	4.6368	4.0	39	2428	10000	0.2428	8.640700312131724
ckt	7.9873	7.0	44	4271	10000	0.4271	10.550151047196033
zoc	6.085599194360523	6	39	567	993	0.5709969788519638	8.24900049697532
dgz	4.6655	4.0	29	2160	10000	0.216	9.107523298381999
hae	5.9738	6.0	35	3431	10000	0.3431	10.197519857731685
arz	4.5023	4.0	303	5385	10000	0.5385	11.31909430916938
fij	3.8043	3.0	34	1436	10000	0.1436	7.513333198191296
fin	6.2013	6.0	40	5194	10000	0.5194	11.041337431125694
gni	8.118564742589703	7	31	380	641	0.592823712948518	8.172383200006815
khk	5.6021	5.0	50	3729	10000	0.3729	10.343731231120499
hau	4.1117	4.0	38	2127	10000	0.2127	8.73741266248094
heb	3.9364	4.0	84	4097	10000	0.4097	10.34200364117226
hin	3.1888	3.0	461	3086	10000	0.3086	9.865484346481
hix	5.4095	4.0	33	1562	10000	0.1562	8.01871234529061
hnj	3.78190918841616	4	33	487	2797	0.1741151233464426	7.776040670656933
qvi	8.3046	8.0	39	4109	10000	0.4109	10.69521915343929
imn	5.252873563218391	5.0	31	233	348	0.6695402298850575	7.609092489492953
ind	5.4776	5.0	40	3118	10000	0.3118	9.714101223113346
kal	11.1758	10.0	38	6760	10000	0.676	12.128749854082137
gyd	8.848484848484848	7	23	31	33	0.9393939393939394	4.900306619292897
kio	3.8721804511278197	3	45	94	133	0.706766917293233	6.3212756013449365
kor	2.9591	3.0	985	6125	10000	0.6125	11.885266580996866
kut	4.621212121212121	4.0	35	43	66	0.6515151515151515	5.2296299146491
laj	3.9262	4.0	33	2246	10000	0.2246	8.956864787244655
lvk	4.781303116147309	5	30	732	1765	0.41473087818696885	8.588995331681087
dni	6.888888888888889	6.0	28	184	252	0.7301587301587301	7.284908249233824
lue	7.214638157894737	7.0	33	587	1216	0.48273026315789475	8.35776891182995
ayz	3.486284289276808	4.0	28	257	802	0.3204488778054863	7.106099858453751
myh	8.379310344827585	7.0	44	159	232	0.6853448275862069	7.0723002581670755
cmn	1.6194	1.0	2318	4334	10000	0.4334	10.936170660184285
arn	5.4639	5.0	39	2541	10000	0.2541	8.517506710581431
vma	8.64698093220339	7.0	28	1524	3776	0.4036016949152542	9.448998461162953
mph	5.9834	5.0	35	1865	10000	0.1865	8.040366057952419
ote	3.1288604898828543	2.0	45	361	1878	0.19222577209797656	6.443652310037876
ell	4.8351	4.0	93	4092	10000	0.4092	10.044183350069785
naq	4.1279	3.0	45	2622	10000	0.2622	8.932977374034788
tur	5.9351	5.0	47	5027	10000	0.5027	11.07681310610467
kat	4.5506	4.0	79	4274	10000	0.4274	10.286259527372188
kan	5.258333333333334	5.0	282	714	1080	0.6611111111111111	8.859529878418565
mya	2.4548	2.0	402	1818	10000	0.1818	8.823235628749156
jpn	1.6592	1.0	1285	2770	10000	0.277	9.112461285623484
pwn	5.101721439749609	4	34	539	1917	0.2811684924360981	7.407220083900848
gug	5.5288	5.0	48	3091	10000	0.3091	9.604127920950452
myp	5.174071689203692	5	32	1196	4659	0.2567074479502039	8.349237655068912
plt	5.5355	5.0	39	3060	10000	0.306	9.29776646288067
jac	4.9444	5.0	38	2271	10000	0.2271	8.675396656669673
rma	6.367989056087551	6	32	468	731	0.640218878248974	8.49039677731753
rap	3.2591776798825256	3.0	31	496	2724	0.18208516886930984	7.1888443869565
rus	4.7836	4.0	72	4024	10000	0.4024	10.13896958691452
sag	3.4585	3.0	47	970	10000	0.097	6.998573519176878
mig	3.5024	3.0	49	1480	10000	0.148	8.046721770611109
xsu	3.5992	3.0	46	1347	10000	0.1347	7.464941383137279
spa	4.4597	4.0	45	3449	10000	0.3449	9.508680342248296
fra	4.6016	4.0	52	3577	10000	0.3577	9.820360769031236
eng	4.3091	4.0	46	3033	10000	0.3033	9.438569183625784
deu	5.0053	4.0	55	3566	10000	0.3566	9.911996256174607
swh	5.559	5.0	35	3372	10000	0.3372	9.879331560895638
tgl	4.8646	4.0	53	3296	10000	0.3296	9.094684497469537
tml	5.579234972677596	5	33	126	183	0.6885245901639344	6.6449781501631975
tha	2.7133	2.0	506	2076	10000	0.2076	9.047346031279721
tiw	5.872459705676244	5	32	532	1427	0.37281009110021024	8.171087485626877
vie	3.2985	3.0	103	1958	10000	0.1958	9.200969709833515
