File	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
abk	7.29135618479881	7	52	9785	0.0053	788	1342	0.587183308494784	8.89174470664243
amp	5.5195	5	34	55195	0.0006	3326	10000	0.3326	9.78511394477366
aey	4.8814	5	34	48814	0.0007	2661	10000	0.2661	9.24733610893671
apu	7.4039	7	37	74039	0.0005	3117	10000	0.3117	9.66570291603844
bmi	3.40789473684211	3	50	259	0.1931	61	76	0.802631578947369	5.60570862782288
bsn	5.8186	5	51	58186	0.0009	2601	10000	0.2601	8.9145858561673
gry	2.96768569103801	2	55	25531	0.0022	1399	8603	0.162617691502964	8.07804321896931
eus	6.2203	6	51	62203	0.0008	4632	10000	0.4632	10.9707648720922
ape	5.5157	5	35	55157	0.0006	2417	10000	0.2417	8.93945325904291
bsk	4.90697674418605	5	47	1266	0.0371	178	258	0.689922480620155	7.07891904485726
ram	3.647	3	46	36470	0.0013	1378	10000	0.1378	7.77073743199289
tzm	4.53359030837004	5	42	8233	0.0051	679	1816	0.373898678414097	7.95607486450934
cha	4.6441	4	40	46441	0.0009	2468	10000	0.2468	8.63389875808806
ckt	7.8414	7	48	78414	0.0006	4251	10000	0.4251	10.5057170603884
zoc	6.08559919436052	6	39	6043	0.0065	567	993	0.570996978851964	8.24900049697532
dgz	4.6266	4	31	46266	0.0007	2172	10000	0.2172	9.09851180774111
hae	6.0167	6	38	60167	0.0006	3470	10000	0.347	10.2545706213894
arz	4.5356	4	304	45356	0.0067	5454	10000	0.5454	11.3158440763182
fij	3.8371	3	34	38371	0.0009	1436	10000	0.1436	7.51907844768958
fin	6.512	6	54	65120	0.0008	5460	10000	0.546	11.2881017819164
gni	6.220823798627	6	35	5437	0.0064	384	874	0.439359267734554	7.09540593793096
khk	5.5692	5	64	55692	0.0011	3739	10000	0.3739	10.3529116922674
hau	4.182	4	47	41820	0.0011	2215	10000	0.2215	8.90447733155285
heb	4.0429	4	105	40429	0.0026	4432	10000	0.4432	10.7084737647231
hin	3.1274	3	533	31274	0.017	3616	10000	0.3616	10.3215665128046
hix	5.3626	4	33	53626	0.0006	1572	10000	0.1572	8.02235510456516
hnj	3.78302900107411	4	33	10566	0.0031	487	2793	0.174364482635159	7.77771949396992
qvi	8.0425	8	43	80425	0.0005	4005	10000	0.4005	10.5493227457433
imn	5.25287356321839	5	31	1828	0.017	233	348	0.669540229885057	7.60909248949295
ind	5.5596	5	45	55596	0.0008	3400	10000	0.34	10.0184092481367
kal	11.0263	10	41	110263	0.0004	6920	10000	0.692	12.1676244660292
gyd	8.07561235356762	7	29	7583	0.0038	674	939	0.717784877529286	8.99658256073021
kio	2.80188679245283	2	46	594	0.0774	96	212	0.452830188679245	5.17968334193627
kor	4.32	3	976	31344	0.0311	6143	10000	0.6143	11.9394216526847
kgo	5.32317073170732	5	46	1746	0.0263	176	328	0.536585365853659	6.62759880061751
kut	3.52222222222222	3	36	317	0.1136	44	90	0.488888888888889	4.58089898319094
laj	3.8903	4	34	38903	0.0009	2232	10000	0.2232	8.90701101674764
lvk	4.78130311614731	5	30	8439	0.0036	732	1765	0.414730878186969	8.58899533168109
dni	6.88888888888889	6	28	1736	0.0161	184	252	0.73015873015873	7.28490824923382
lue	7.21463815789474	7	33	8773	0.0038	587	1216	0.482730263157895	8.35776891182995
ayz	3.48628428927681	4	28	2796	0.01	257	802	0.320448877805486	7.10609985845375
myh	7.95934959349593	7	45	1958	0.023	160	246	0.650406504065041	6.98486857085289
cmn	4.15	1	2203	16463	0.1338	4123	10000	0.4123	10.5381325608152
arn	5.4127	5	41	54127	0.0008	2527	10000	0.2527	8.5529864998988
vma	8.63571428571429	7	28	32643	0.0009	1523	3780	0.402910052910053	9.44193945688089
mph	5.9712	5	38	59712	0.0006	1883	10000	0.1883	8.05237991238148
ote	3.52978386926726	3	55	20088	0.0027	1567	5691	0.275347039184678	8.52393472860073
ell	5.1452	4	89	51452	0.0017	4371	10000	0.4371	10.3256134627313
naq	4.0787	3	45	40787	0.0011	2563	10000	0.2563	8.87451425821598
tur	6.0443	6	63	60443	0.001	5321	10000	0.5321	11.3136404473328
kat	5.2935	5	109	52935	0.0021	4859	10000	0.4859	10.9618735246962
kan	4.6498	4	528	46498	0.0114	4634	10000	0.4634	11.2431282100187
mya	2.3398	2	459	23398	0.0196	2003	10000	0.2003	8.87815726268283
jpn	2.83	1	1234	18660	0.0661	2935	10000	0.2935	9.38680956139235
pwn	5.09958289885297	4	35	9781	0.0036	540	1918	0.281543274244004	7.40979593677
gug	5.5114	5	55	55114	0.001	3125	10000	0.3125	9.68200816298835
myp	5.17407168920369	5	32	24106	0.0013	1196	4659	0.256707447950204	8.34923765506891
crk	8.35294117647059	7	31	3550	0.0087	288	425	0.677647058823529	7.80432052205502
plt	5.7412	5	54	57412	0.0009	3329	10000	0.3329	9.69588720474764
jac	4.9329	5	38	49329	0.0008	2252	10000	0.2252	8.68210422911056
rma	6.36798905608755	6	32	4655	0.0069	468	731	0.640218878248974	8.49039677731753
rap	3.23944687045124	3	33	8902	0.0037	498	2748	0.181222707423581	7.20194965239692
rus	5.3998	5	80	53998	0.0015	4628	10000	0.4628	10.789437014769
sag	3.4332	3	49	34332	0.0014	1016	10000	0.1016	7.016440797936
mig	3.0991	3	50	30991	0.0016	1321	10000	0.1321	7.39167316119992
xsu	3.6019	3	49	36019	0.0014	1331	10000	0.1331	7.40645195793334
spa	4.7114	4	55	47114	0.0012	3742	10000	0.3742	9.8046835943767
fra	4.7584	4	87	47584	0.0018	3709	10000	0.3709	9.93195473965257
eng	4.5598	4	48	45598	0.0011	3347	10000	0.3347	9.76111348953812
deu	5.4705	5	81	54705	0.0015	3956	10000	0.3956	10.1865486391062
spp	3.52527472527473	3	57	1604	0.0355	192	455	0.421978021978022	6.76025836334315
swh	5.5543	5	36	55543	0.0006	3449	10000	0.3449	9.88128672806864
tgl	4.8821	4	56	48821	0.0011	3325	10000	0.3325	9.09649200064903
tml	5.5792349726776	5	33	1021	0.0323	126	183	0.688524590163934	6.6449781501632
tha	2.8402	3	491	28402	0.0173	2329	10000	0.2329	9.38760002851137
tiw	5.79186767746382	5	34	8404	0.004	534	1451	0.36802205375603	8.17402304802287
vie	3.342	3	113	33420	0.0034	2100	10000	0.21	9.53060307586062
wyb	8.00215517241379	7	30	7426	0.004	596	928	0.642241379310345	8.73965815087849
wba	5.99234844025898	6	34	30543	0.0011	1419	5097	0.27839905826957	9.13369484040197
pav	3.73355048859935	3	27	11462	0.0024	556	3070	0.181107491856678	7.52095136119198
pes	3.8506	4	153	38506	0.004	3895	10000	0.3895	10.4215656541713
kew	4.9333	4	32	49333	0.0006	2336	10000	0.2336	9.2126119392107
kjq	3.18590704647676	3	52	17000	0.0031	888	5336	0.166416791604198	6.55251346784586
wic	9.59851851851852	7	30	6479	0.0046	443	675	0.656296296296296	8.374274522295
mzh	5.194	5	44	51940	0.0008	2716	10000	0.2716	8.71719888064802
yad	7.6577	7	49	76577	0.0006	4199	10000	0.4199	10.4070377524274
yaq	5.1526	5	31	51526	0.0006	2346	10000	0.2346	8.99309519410662
yor	3.5672	3	62	35672	0.0017	2170	10000	0.217	8.70732701864413
zul	7.5767	7	44	75767	0.0006	3837	10000	0.3837	10.8248077689891
