File	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
abk	7.284848484848485	7.0	52	9616	0.0054	778	1320	0.5893939393939394	8.880873877097965
amp	5.544	5.0	33	11088	0.003	945	2000	0.4725	8.910240077580848
aey	4.918	5.0	34	9836	0.0035	792	2000	0.396	8.424043023510983
apu	7.4505	7.0	33	14901	0.0022	930	2000	0.465	8.781721370928752
bmi	3.4078947368421053	3.0	50	259	0.1931	61	76	0.8026315789473685	5.605708627822881
bsn	5.667	5.0	48	11334	0.0042	783	2000	0.3915	8.254334777026164
gry	2.9985	2.0	53	5997	0.0088	571	2000	0.2855	7.706004312798342
eus	6.141	6.0	40	12282	0.0033	1263	2000	0.6315	9.650772024550317
ape	5.468	5.0	33	10936	0.003	743	2000	0.3715	8.17798317166457
bsk	4.906976744186046	5.0	47	1266	0.0371	178	258	0.689922480620155	7.0789190448572645
ram	3.65	3.0	43	7300	0.0059	489	2000	0.2445	7.276746735892685
tzm	4.533590308370044	5.0	42	8233	0.0051	679	1816	0.3738986784140969	7.956074864509342
cha	4.6585	4.0	37	9317	0.004	739	2000	0.3695	8.020471916069521
ckt	7.8535	7.0	47	15707	0.003	1165	2000	0.5825	9.393907375382566
zoc	6.085599194360523	6	39	6043	0.0065	567	993	0.5709969788519638	8.24900049697532
dgz	4.666	4.0	31	9332	0.0033	779	2000	0.3895	8.578635993743653
hae	5.976	6.0	37	11952	0.0031	1056	2000	0.528	9.34942342773935
arz	4.553	4.0	252	9106	0.0277	1410	2000	0.705	9.990619257932808
fij	3.839	3.0	34	7678	0.0044	501	2000	0.2505	7.09576758955758
fin	6.624	6.0	45	13248	0.0034	1424	2000	0.712	10.012092316673744
gni	6.220823798627002	6.0	35	5437	0.0064	384	874	0.43935926773455375	7.095405937930961
khk	5.5815	5.0	62	11163	0.0056	1136	2000	0.568	9.446883529322463
hau	4.173	4.0	44	8346	0.0053	761	2000	0.3805	8.27913250725388
heb	4.036	4.0	82	8072	0.0102	1202	2000	0.601	9.474797086059876
hin	3.007	3.0	376	6014	0.0625	1075	2000	0.5375	9.28283581295469
hix	5.3515	4.0	32	10703	0.003	549	2000	0.2745	7.5553816453980005
hnj	3.782	4.0	33	7564	0.0044	435	2000	0.2175	7.722184645391403
qvi	8.066	8.0	42	16132	0.0026	1143	2000	0.5715	9.494544815080898
imn	5.252873563218391	5.0	31	1828	0.017	233	348	0.6695402298850575	7.609092489492953
ind	5.542	5.0	39	11084	0.0035	1022	2000	0.511	9.073008966846345
kal	11.385	10.0	36	22770	0.0016	1659	2000	0.8295	10.475994755077116
gyd	8.075612353567625	7	29	7583	0.0038	674	939	0.7177848775292864	8.996582560730205
kio	2.80188679245283	2.0	46	594	0.0774	96	212	0.4528301886792453	5.1796833419362684
kor	3.2335	3.0	652	6467	0.1008	1589	2000	0.7945	10.414146158869297
kgo	5.323170731707317	5.0	46	1746	0.0263	176	328	0.5365853658536586	6.62759880061751
kut	3.6222222222222222	3.5	36	326	0.1104	46	90	0.5111111111111111	4.653012594253978
laj	3.8805	4.0	33	7761	0.0043	779	2000	0.3895	8.35329696281082
lvk	4.781303116147309	5	30	8439	0.0036	732	1765	0.41473087818696885	8.588995331681087
dni	6.888888888888889	6.0	28	1736	0.0161	184	252	0.7301587301587301	7.284908249233824
lue	7.214638157894737	7.0	33	8773	0.0038	587	1216	0.48273026315789475	8.35776891182995
ayz	3.486284289276808	4.0	28	2796	0.01	257	802	0.3204488778054863	7.106099858453751
myh	7.959349593495935	7.0	45	1958	0.023	160	246	0.6504065040650406	6.984868570852893
cmn	1.6455	1.0	980	3291	0.2978	1226	2000	0.613	9.457064005986073
arn	5.449	5.0	41	10898	0.0038	714	2000	0.357	7.876150361682811
vma	8.6295	7.0	28	17259	0.0016	961	2000	0.4805	9.066479914180485
mph	5.993	5.0	35	11986	0.0029	586	2000	0.293	7.472524568321816
ote	3.602	3.0	51	7204	0.0071	749	2000	0.3745	8.07753892544043
ell	5.167	4.0	82	10334	0.0079	1144	2000	0.572	9.225482804690913
naq	4.0905	3.0	45	8181	0.0055	825	2000	0.4125	8.279442838653376
tur	5.7485	5.0	50	11497	0.0043	1348	2000	0.674	9.866511963050776
kat	5.2905	5.0	95	10581	0.009	1304	2000	0.652	9.679070854996592
kan	4.62	4.0	396	9240	0.0429	1386	2000	0.693	10.057495443705644
mya	2.2765	2.0	309	4553	0.0679	689	2000	0.3445	8.080297355249254
jpn	1.8615	1.0	635	3723	0.1706	867	2000	0.4335	8.490009432620166
pwn	5.0995828988529714	4.0	35	9781	0.0036	540	1918	0.28154327424400416	7.4097959367699975
gug	5.483	5.0	50	10966	0.0046	954	2000	0.477	8.841743720628063
myp	5.2445	5.0	31	10489	0.003	709	2000	0.3545	8.115711889837593
crk	8.352941176470589	7	31	3550	0.0087	288	425	0.6776470588235294	7.804320522055016
plt	5.666	5.0	63	11332	0.0056	957	2000	0.4785	8.729339026761187
jac	4.9445	5.0	38	9889	0.0038	739	2000	0.3695	8.149828781134081
rma	6.367989056087551	6	32	4655	0.0069	468	731	0.640218878248974	8.49039677731753
