File	Avg_length	Median_length	Char_types	Types	Tokens	TTR	H
ar	4.8438	5.0	170	4743	10000	0.4743	11.017120533422645
de	6.2526	5.0	59	3881	10000	0.3881	10.08522357378067
el	5.7321	5.0	91	3760	10000	0.376	9.959753137879932
en	5.1236	4.0	56	3248	10000	0.3248	9.566451755869178
es	4.9718	4.0	60	3030	10000	0.303	9.079441619699885
hi	2.6689	2.0	501	2876	10000	0.2876	9.440176114340415
ro	5.3334	5.0	60	3624	10000	0.3624	9.92573212455282
ru	6.3928	6.0	88	4861	10000	0.4861	10.95313403374275
th	3.1437	3.0	459	2114	10000	0.2114	9.409394506637648
tr	6.6257	6.0	69	4999	10000	0.4999	11.20025092743484
vi	3.5732	3.0	107	1767	10000	0.1767	9.378391737895026
zh	1.6406	2.0	1497	2964	10000	0.2964	10.199940205455864
