File	Avg_length	Median_length	Char_types	Types	Tokens	TTR	H
af	5.2731	4.0	83	3555	10000	0.3555	9.625068524351462
ar	5.1103	5.0	130	4504	10000	0.4504	10.846023613570543
bg	5.4129	5.0	90	4426	10000	0.4426	10.399388588117535
bn	3.7993	3.0	419	4026	10000	0.4026	10.937124334761487
de	6.2666	5.0	53	3751	10000	0.3751	10.026518204991849
el	5.5844	5.0	77	3720	10000	0.372	9.91670915339273
en	5.268	5.0	40	2746	10000	0.2746	9.295387084592871
es	5.7554	6.0	87	4526	10000	0.4526	10.288856415634209
et	6.4871	6.0	123	5595	10000	0.5595	11.492419553775092
eu	6.774	6.0	109	4010	10000	0.401	10.217417461973524
fa	5.4971	5.0	145	3850	10000	0.385	9.748156012033958
fi	7.1412	7.0	95	6185	10000	0.6185	11.709002003727313
fr	5.5704	5.0	135	5015	10000	0.5015	10.746882686268327
he	4.8004	5.0	85	5765	10000	0.5765	11.608633491300196
hi	2.5682	2.0	539	2989	10000	0.2989	9.497388709444486
hu	6.3855	6.0	124	5603	10000	0.5603	11.17408537506174
id	5.71	5.0	134	4078	10000	0.4078	9.895547682459174
it	5.4418	5.0	142	4904	10000	0.4904	10.94108281172346
ja	1.0085	1.0	1150	1162	10000	0.1162	8.536524089347633
jv	5.9407	6.0	140	4011	10000	0.4011	10.550582739330913
ka	6.9851	7.0	122	5728	10000	0.5728	11.614322796359163
kk	7.0022	7.0	100	4707	10000	0.4707	10.783086923888128
ko	1.7335	1.0	962	3116	10000	0.3116	9.919408334607168
ml	5.089	5.0	573	6136	10000	0.6136	11.764937972008518
mr	3.8679	4.0	568	4377	10000	0.4377	10.6304196693119
ms	5.8222	6.0	298	3572	10000	0.3572	10.02483768550033
my	2.5434	2.0	543	2430	10000	0.243	9.751921492031995
nl	5.5079	5.0	92	4615	10000	0.4615	10.35192332502474
pt	5.7723	5.0	108	5028	10000	0.5028	10.973629698144672
ru	5.9657	6.0	88	3989	10000	0.3989	10.454616947592843
sw	5.539	6.0	57	3141	10000	0.3141	9.774530929080951
ta	4.7313	4.0	273	5821	10000	0.5821	11.672542594674596
te	4.2031	4.0	524	4383	10000	0.4383	10.871814581333663
th	1.0003	1.0	91	92	10000	0.0092	5.269086445524161
tl	5.5671	5.0	134	3300	10000	0.33	9.85740196740835
tr	6.4691	6.0	94	5711	10000	0.5711	11.58331050542811
ur	5.2664	5.0	132	3402	10000	0.3402	9.427286989890804
vi	3.5222	3.0	105	1682	10000	0.1682	9.287701430439508
yo	5.46677471636953	5.0	67	1202	3702	0.32468935710426794	8.62042523437271
zh	1.5346	1.0	1539	4159	10000	0.4159	11.02213132670602
